Sexo Edad Respuesta
Femenino 25 Sí
Masculino 32 No
Femenino 29 Tal vez
Masculino 40 Sí
Femenino 22 No
Masculino 35 Tal vez
Femenino 27 Sí
Masculino 38 No
Femenino 31 Tal vez
Masculino 24 Sí
Femenino 36 No
Masculino 28 Tal vez
Femenino 33 Sí
Masculino 41 No
Femenino 19 Tal vez
Masculino 30 Sí
Femenino 26 No
Masculino 39 Tal vez
Femenino 23 Sí
Masculino 34 No
Femenino 37 Tal vez
Masculino 21 Sí
Femenino 42 No
Masculino 29 Tal vez
Femenino 44 Sí
Masculino 18 No
Femenino 31 Tal vez
Masculino 27 Sí
Femenino 36 No
Masculino 40 Tal vez
Femenino 22 Sí
Masculino 33 No
Femenino 28 Tal vez
Masculino 45 Sí
Femenino 24 No
Masculino 37 Tal vez
Femenino 30 Sí
Masculino 26 No
Femenino 39 Tal vez
Masculino 23 Sí
Femenino 35 No
Masculino 41 Tal vez
Femenino 20 Sí
Masculino 32 No
Femenino 29 Tal vez
Masculino 38 Sí
Femenino 25 No
Masculino 34 Tal vez
Femenino 42 Sí
